Temp,Humd,Label
26.0,24.0,0
29.8,88.8,0
26.4,86.9,0
30.0,88.7,0
29.5,89.0,0
26.0,71.8,0
25.3,40.0,0
29.0,27.2,0
29.4,88.2,0
29.2,86.7,0
27.1,50.5,0
26.8,68.7,0
25.0,28.5,0
26.6,26.6,0
27.4,57.7,0
27.6,59.0,0
26.0,28.6,0
26.3,24.1,0
28.2,21.4,0
26.6,81.0,1
27.6,90.0,1
25.6,21.8,0
25.2,46.4,0
24.9,52.2,0
25.0,27.9,0
25.5,50.5,0
25.7,27.4,0
27.9,22.3,0
25.1,65.7,0
26.8,70.3,0
25.3,74.3,0
24.7,28.0,0
25.3,29.6,0
25.3,72.3,0
25.6,46.5,0
25.4,28.3,0
29.5,92.0,1
26.7,85.1,0
26.8,26.3,0
23.6,27.8,0
25.8,24.0,0
31.0,87.6,0
28.5,33.0,0
29.0,87.9,0
26.2,82.0,1
26.2,68.7,0
25.4,33.0,1
26.1,26.6,0
25.2,42.8,0
25.1,25.7,0
26.6,33.0,0
24.8,73.9,0
27.0,23.6,0
27.9,73.5,0
25.1,34.6,0
27.3,34.4,0
26.8,27.0,0
26.3,30.1,0
25.5,51.7,0
26.5,30.1,0
24.2,28.3,0
27.9,86.9,0
25.5,70.1,0
27.9,87.8,0
27.1,23.4,0
25.8,29.7,0
26.5,71.9,0
28.8,27.0,0
25.3,70.6,0
28.4,25.4,0
25.3,30.7,0
26.8,24.9,0
26.3,23.6,0
25.1,27.4,0
30.0,86.3,0
26.6,23.3,0
25.3,32.0,1
25.3,55.1,0
27.9,34.6,0
29.6,33.0,1
25.8,38.6,0
25.6,83.2,0
27.0,24.9,0
27.7,38.0,0
29.2,93.0,1
26.7,87.3,0
28.3,21.6,0
25.7,29.2,0
24.6,27.2,0
25.4,56.7,0
28.0,25.0,0
28.4,87.5,0
25.7,35.3,0
27.4,39.8,0
26.0,60.1,0
28.7,87.5,0
28.1,88.4,0
31.9,92.0,1
24.9,52.1,0
25.8,33.3,0
25.4,25.0,0
27.4,41.8,0
26.2,86.0,0
29.7,88.8,0
28.4,86.2,0
26.9,25.0,0
25.8,79.3,0
26.0,32.9,0
25.9,86.3,0
28.5,87.5,0
25.3,22.8,0
25.5,68.7,0
28.8,87.6,0
29.4,87.6,0
25.3,38.2,0
27.0,25.2,0
24.6,74.4,0
26.5,25.3,0
24.7,27.4,0
24.6,23.3,0
29.0,88.1,0
26.6,23.8,0
25.1,32.0,1
25.3,74.9,0
25.2,32.8,0
25.1,46.1,0
25.5,51.4,0
26.3,24.6,0
29.6,86.7,0
27.2,91.0,1
28.6,88.0,0
28.9,42.9,0
25.2,22.6,0
27.4,60.4,0
26.7,86.4,0
25.6,25.6,0
25.5,67.6,0
26.4,27.2,0
25.7,31.5,0
29.5,85.8,0
24.9,28.8,0
25.8,55.3,0
29.3,33.4,0
30.0,81.3,0
24.8,26.3,0
25.4,30.2,0
26.8,23.8,0
29.7,88.1,0
28.0,78.0,1
25.4,25.3,0
27.5,58.8,0
27.6,88.0,0
24.9,28.2,0
27.8,73.1,0
24.9,22.2,0
29.0,88.8,0
28.6,27.6,0
29.3,48.2,0
28.1,57.3,0
26.0,24.5,0
24.8,51.8,0
25.4,54.1,0
26.8,85.0,0
29.7,52.5,0
25.6,77.3,0
25.5,64.0,0
25.5,51.5,0
28.2,88.0,0
28.7,88.1,0
25.2,78.1,0
28.7,87.0,0
28.1,38.9,0
27.0,85.5,0
25.0,83.1,0
25.2,22.4,0
27.4,86.5,0
25.9,25.3,0
28.4,32.8,0
29.0,88.2,0
26.1,21.7,0
25.0,83.2,0
27.0,50.0,0
28.4,86.8,0
26.3,23.9,0
26.3,27.4,0
25.7,66.9,0
27.3,71.3,0
25.1,29.7,0
25.7,38.9,0
23.7,27.8,0
27.7,25.7,0
26.4,27.3,0
25.8,69.0,0
28.8,27.4,0
26.7,49.5,0
25.1,71.0,0
26.7,68.0,0
26.1,24.7,0
26.9,23.2,0
25.2,28.0,0
24.1,27.8,0
24.7,28.3,0
28.7,86.9,0
25.6,34.0,0
27.3,70.9,0
25.7,28.1,0
29.8,87.0,0
24.7,22.0,0
25.1,46.8,0
27.0,24.5,0
25.5,45.4,0
26.8,84.9,0
25.9,30.9,0
29.1,87.6,0
24.7,71.8,0
27.8,86.0,0
25.9,85.5,0
28.0,86.2,0
27.2,73.4,0
25.4,32.1,0
26.1,32.4,0
24.2,26.8,0
25.3,69.6,0
28.8,35.8,0
26.6,24.4,0
24.3,84.6,0
28.6,73.3,0
27.2,71.0,0
26.8,49.5,0
25.8,76.3,0
25.5,85.9,0
25.7,56.2,0
28.7,22.4,0
25.3,73.0,0
24.0,27.5,0
24.9,74.0,0
26.5,27.6,0
27.9,25.1,0
28.6,88.1,0
27.5,25.5,0
25.0,73.9,0
25.2,26.9,0
24.9,28.1,0
28.8,92.0,1
25.4,69.4,0
27.8,34.9,0
25.0,29.1,0
28.1,21.2,0
25.9,27.5,0
24.6,26.7,0
24.8,74.4,0
24.9,65.9,0
26.7,84.3,0
27.1,86.6,0
26.3,26.0,0
26.4,24.3,0
30.2,52.8,0
25.1,71.4,0
28.2,33.2,0
26.6,25.1,0
26.0,33.1,0
25.9,56.1,0
25.1,83.5,0
25.1,25.1,0
26.6,23.5,0
25.8,47.5,0
26.0,85.8,0
25.9,38.3,0
26.7,70.9,0
29.6,87.3,0
25.9,57.9,0
24.9,30.8,0
26.8,25.7,0
24.6,74.7,0
26.9,25.9,0
26.4,25.7,0
27.3,87.8,0
26.9,49.4,0
29.4,88.3,0
26.4,29.7,0
25.1,61.2,0
26.0,69.6,0
27.4,71.0,0
25.9,46.0,0
25.2,77.7,0
25.5,61.9,0
25.5,76.8,0
24.8,47.1,0
25.8,75.4,0
24.9,51.2,0
25.9,27.0,0
27.2,42.1,0
25.7,24.2,0
25.2,75.9,0
27.3,70.8,0
24.0,26.3,0
26.7,26.8,0
28.7,86.6,0
24.8,23.0,0
31.2,86.7,0
26.2,32.0,1
24.9,27.7,0
25.0,30.4,0
25.8,33.7,0
27.4,58.5,0
29.3,43.2,0
25.9,30.0,0
26.1,23.9,0
30.3,88.0,0
26.7,86.0,0
27.1,59.6,0
27.9,87.0,0
28.8,27.6,0
27.5,35.3,0
26.7,27.2,0
25.9,59.6,0
28.8,87.9,0
25.3,47.6,0
26.7,31.3,0
26.5,25.2,0
25.4,29.0,0
26.9,84.8,0
25.9,61.2,0
28.5,91.0,1
28.3,20.6,0
24.1,27.6,0
27.9,58.6,0
24.8,27.3,0
25.8,33.4,0
25.1,28.8,0
27.4,29.0,0
25.4,82.3,0
25.2,74.0,0
27.6,49.3,0
27.3,41.5,0
25.3,71.9,0
26.1,47.3,0
28.2,87.0,0
25.4,29.7,0
24.7,26.8,0
24.3,27.8,0
25.2,71.6,0
26.8,84.0,0
25.3,51.3,0
25.6,71.4,0
27.1,25.6,0
25.7,57.8,0
29.9,87.0,0
27.5,24.8,0
29.0,27.6,0
24.9,30.2,0
28.7,88.3,0
25.5,29.6,0
26.8,86.5,0
23.7,27.4,0
29.4,82.0,0
29.4,80.9,0
25.3,75.1,0
29.6,80.6,0
26.6,26.4,0
25.6,22.8,0
25.0,82.2,0
28.1,34.2,0
26.3,85.4,0
26.8,86.6,0
30.4,88.8,0
24.8,35.0,0
30.3,87.5,0
26.0,61.6,0
25.5,24.2,0
25.7,22.1,0
26.2,86.6,0
26.1,25.0,0
26.5,30.3,0
25.2,27.2,0
28.2,22.5,0
26.3,25.2,0
27.1,24.8,0
24.2,26.5,0
26.0,25.9,0
25.1,30.4,0
25.8,22.1,0
28.8,33.0,0
25.8,22.6,0
25.2,84.0,0
26.6,86.4,0
29.5,79.9,0
27.1,24.7,0
28.9,88.8,0
26.7,86.2,0
24.9,83.4,0
28.6,20.5,0
27.1,26.6,0
24.1,27.0,0
26.6,25.3,0
27.6,71.8,0
27.3,68.6,0
29.6,54.4,0
28.2,86.5,0
25.6,56.3,0
27.4,58.4,0
24.6,52.4,0
26.7,84.8,0
29.2,83.3,0
25.4,65.0,0
24.4,73.9,0
26.8,28.3,0
28.6,20.6,0
25.7,21.6,0
25.2,83.4,0
25.0,35.7,0
28.7,88.4,0
25.4,22.0,0
26.4,84.7,0
28.6,86.9,0
25.3,63.9,0
25.2,42.5,0
27.5,60.0,0
27.0,27.5,0
25.8,50.5,0
25.8,70.6,0
28.0,73.2,0
27.2,49.8,0
28.3,86.7,0
29.1,83.9,0
25.4,79.7,0
26.4,31.8,0
25.8,38.0,0
27.2,57.5,0
25.9,86.0,0
27.2,24.5,0
25.8,39.6,0
29.7,80.3,0
25.3,23.5,0
26.4,24.8,0
28.1,24.9,0
28.4,25.3,0
26.6,73.4,0
28.9,28.8,0
24.3,27.1,0
25.1,83.3,0
25.5,73.4,0
29.9,88.3,0
27.8,21.5,0
28.2,22.6,0
24.9,84.2,0
26.8,25.4,0
27.9,35.3,0
25.0,72.0,0
25.1,84.0,0
27.9,23.2,0
24.8,71.3,0
24.9,28.6,0
25.5,22.3,0
24.3,25.7,0
25.4,68.9,0
30.5,89.0,0
24.8,27.7,0
27.8,87.0,0
28.7,33.7,0
26.2,71.0,0
25.0,71.5,0
25.5,60.7,0
24.4,52.5,0
28.9,24.9,0
29.1,88.1,0
25.0,80.7,0
26.7,26.5,0
26.9,59.6,0
24.9,40.6,0
25.7,77.9,0
24.0,27.8,0
26.6,24.6,0
29.7,87.9,0
25.6,29.5,0
27.9,34.4,0
29.1,87.3,0
28.1,86.6,0
27.7,71.6,0
25.8,25.2,0
24.5,27.2,0
27.4,87.1,0
27.3,71.1,0
26.5,56.0,1
28.7,36.2,0
27.5,68.4,0
30.2,88.3,0
25.4,23.0,0
28.6,83.1,0
25.6,79.5,0
26.2,23.9,0
26.2,84.8,0
25.5,29.4,0
30.2,87.7,0
23.8,27.8,0
26.2,24.3,0
24.9,31.3,0
27.9,21.6,0
30.6,87.3,0
28.5,86.6,0
29.4,88.1,0
26.8,49.2,0
24.5,74.2,0
29.8,47.7,0
25.5,65.2,0
25.6,24.9,0
26.8,70.1,0
26.2,25.9,0
24.8,72.7,0
24.0,28.6,0
28.9,87.6,0
25.6,27.9,0
25.4,31.4,0
27.4,85.9,0
25.5,75.1,0
31.5,88.6,0
27.4,58.2,0
24.1,26.9,0
25.3,35.2,0
26.8,88.0,0
25.2,32.1,0
24.7,28.7,0
24.3,27.4,0
30.6,88.2,0
25.6,47.8,0
25.6,46.8,0
24.6,72.9,0
26.2,26.5,0
29.9,87.1,0
25.1,76.7,0
26.8,73.7,0
25.5,81.9,0
27.3,26.0,0
30.4,87.0,0
25.2,27.5,0
24.6,53.2,0
25.9,59.4,0
29.2,88.2,0
26.7,25.3,0
28.8,87.1,0
24.8,74.2,0
26.2,32.9,0
26.0,26.7,0
27.1,25.4,0
27.0,24.0,0
25.0,50.4,0
25.4,46.8,0
26.7,25.1,0
28.2,27.5,0
25.7,25.7,0
25.5,68.2,0
25.2,67.0,0
25.4,76.3,0
24.1,26.6,0
25.8,46.7,0
29.4,53.4,0
29.7,86.4,0
23.9,28.3,0
29.4,88.6,0
26.0,23.2,0
28.9,87.9,0
27.0,88.1,0
27.4,24.9,0
24.6,83.4,0
27.8,38.1,0
26.0,78.8,0
27.9,34.0,0
24.8,27.6,0
29.4,89.1,0
25.3,33.2,0
27.2,87.6,0
25.4,22.3,0
26.8,25.1,0
25.1,30.0,0
25.2,81.7,0
24.8,48.1,0
25.7,35.7,0
25.5,61.1,0
29.2,86.9,0
26.5,25.9,0
25.1,47.4,0
28.6,87.9,0
28.6,87.0,0
25.1,36.5,0
24.9,31.2,0
25.6,84.3,0
25.4,79.0,0
25.1,71.2,0
26.0,21.7,0
24.8,72.9,0
28.2,87.8,0
25.0,52.3,0
25.4,75.9,0
27.5,50.2,0
26.9,85.6,0
25.6,58.2,0
27.1,58.6,0
25.4,63.4,0
30.4,88.5,0
29.5,87.3,0
27.9,39.1,0
25.2,82.8,0
26.5,84.1,0
27.3,86.1,0
24.9,83.7,0
25.6,21.6,0
27.2,84.4,0
24.6,48.6,0
28.9,21.0,0
30.2,87.5,0
25.8,34.5,0
25.9,69.5,0
29.8,87.4,0
28.8,87.5,0
27.0,71.2,0
25.5,41.3,0
24.9,21.7,0
25.0,22.3,0
25.1,47.3,0
31.1,86.8,0
25.6,32.4,0
27.0,87.7,0
25.6,30.0,0
26.6,26.5,0
28.1,25.4,0
25.6,71.3,0
25.4,54.4,0
24.9,65.5,0
26.9,24.8,0
28.7,87.7,0
25.0,73.1,0
27.4,60.0,0
25.8,76.7,0
26.5,24.5,0
25.5,31.4,0
29.4,85.8,0
28.8,33.8,0
25.4,67.4,0
25.2,73.9,0
27.0,84.8,0
25.6,32.3,0
26.4,23.8,0
27.7,34.4,0
27.0,27.7,0
25.0,32.0,0
25.3,73.9,0
26.5,23.9,0
24.6,27.7,0
26.7,67.3,0
25.0,59.2,0
26.3,26.3,0
23.7,29.2,0
24.8,70.9,0
25.1,82.4,0
26.4,86.0,0
26.7,71.2,0
26.6,25.0,0
24.8,28.4,0
27.1,58.2,0
